Order_ID,Timestamp_Order_Placed,Timestamp_Prep_Finished,Timestamp_Driver_Departed,Timestamp_Delivered,Kitchen_ID,Item_ID,Distance_KM,Order_Value_USD,Customer_Rating
ORD-1000,2026-02-18 16:44:00,2026-02-18 16:58:16.211348,2026-02-18 17:06:31.735644,2026-02-18 17:31:28.501510,K02,101,9.06,41.89,3.6
ORD-1001,2026-01-09 16:03:00,2026-01-09 16:19:51.018634,2026-01-09 16:26:33.229868,2026-01-09 16:41:26.432768,K03,101,2.68,22.76,5.0
ORD-1002,2026-02-25 16:22:00,2026-02-25 16:32:52.551333,2026-02-25 16:41:12.372353,2026-02-25 17:12:33.660524,K03,103,12.34,46.18,1.4
ORD-1003,2026-02-15 19:43:00,2026-02-15 19:50:51.178024,2026-02-15 19:59:24.399531,2026-02-15 20:29:28.235102,K03,102,12.2,27.93,3.3
ORD-1004,2026-01-21 20:35:00,2026-01-21 20:44:11.269694,2026-01-21 20:51:57.490591,2026-01-21 21:28:30.171211,K02,103,14.12,37.31,1.0
ORD-1005,2026-01-23 18:49:00,2026-01-23 19:00:11.915011,2026-01-23 19:07:16.116425,2026-01-23 19:17:47.012865,K02,102,2.36,20.95,5.0
ORD-1006,2026-02-27 18:04:00,2026-02-27 18:16:03.853787,2026-02-27 18:20:23.797525,2026-02-27 18:58:26.491185,K02,102,14.61,19.67,3.6
ORD-1007,2026-01-30 14:32:00,2026-01-30 14:40:42.213448,2026-01-30 14:48:21.568122,2026-01-30 15:14:28.578817,K03,102,10.09,45.35,3.4
ORD-1008,2026-01-19 17:35:00,2026-01-19 17:40:03.520413,2026-01-19 17:42:51.979212,2026-01-19 18:12:03.559314,K01,105,9.61,40.42,3.2
ORD-1009,2026-02-13 21:26:00,2026-02-13 21:41:26.817839,2026-02-13 21:49:35.152866,2026-02-13 22:09:32.287641,K02,104,6.55,20.43,4.8
ORD-1010,2026-01-05 12:03:00,2026-01-05 12:11:18.829953,2026-01-05 12:20:08.396581,2026-01-05 12:52:35.248453,K01,102,12.86,38.21,3.6
ORD-1011,2026-02-08 20:38:00,2026-02-08 20:47:05.077513,2026-02-08 20:50:51.773977,2026-02-08 21:21:23.048819,K03,104,12.34,37.58,4.0
ORD-1012,2026-02-25 18:13:00,2026-02-25 18:21:02.629457,2026-02-25 18:30:17.901509,2026-02-25 18:45:17.443090,K03,102,3.97,36.34,4.7
ORD-1013,2026-02-12 13:47:00,2026-02-12 13:54:40.125739,2026-02-12 13:57:41.690858,2026-02-12 14:08:33.825708,K01,105,2.43,31.99,5.0
ORD-1014,2026-02-09 18:21:00,2026-02-09 18:32:56.895607,2026-02-09 18:37:35.776936,2026-02-09 18:55:52.418274,K02,104,6.26,15.48,5.0
ORD-1015,2026-01-26 22:46:00,2026-01-26 22:59:19.781947,2026-01-26 23:02:57.098823,2026-01-26 23:13:22.307269,K02,101,1.61,37.79,5.0
ORD-1016,2026-01-19 19:49:00,2026-01-19 19:59:14.634629,2026-01-19 20:09:08.960199,2026-01-19 20:46:22.393599,K01,103,14.44,36.66,1.0
ORD-1017,2026-01-11 17:27:00,2026-01-11 17:37:17.988229,2026-01-11 17:40:04.972745,2026-01-11 18:07:54.505968,K03,104,11.34,33.83,3.9
ORD-1018,2026-02-28 20:41:00,2026-02-28 20:52:16.269055,2026-02-28 20:58:28.847734,2026-02-28 21:18:54.549058,K01,104,6.41,15.8,4.8
ORD-1019,2026-02-06 21:15:00,2026-02-06 21:25:45.998047,2026-02-06 21:33:20.897260,2026-02-06 22:07:24.263225,K03,103,14.06,24.16,1.0
ORD-1020,2026-01-28 21:33:00,2026-01-28 21:41:39.875704,2026-01-28 21:45:52.949825,2026-01-28 22:03:24.768131,K02,102,6.12,48.86,5.0
ORD-1021,2026-02-09 10:45:00,2026-02-09 10:54:46.790489,2026-02-09 10:56:48.870656,2026-02-09 11:12:31.431989,K01,102,3.28,39.37,4.5
ORD-1022,2026-02-28 17:57:00,2026-02-28 18:06:03.135035,2026-02-28 18:10:03.085993,2026-02-28 18:27:20.395811,K02,102,3.87,19.22,5.0
ORD-1023,2026-02-12 19:57:00,2026-02-12 20:04:34.490097,2026-02-12 20:09:00.579175,2026-02-12 20:37:04.209855,K03,102,10.72,39.08,3.7
ORD-1024,2026-01-14 21:11:00,2026-01-14 21:20:31.427854,2026-01-14 21:22:56.525847,2026-01-14 21:53:02.757230,K01,103,10.91,37.72,1.3
ORD-1025,2026-02-15 21:52:00,2026-02-15 22:01:23.731132,2026-02-15 22:10:25.147471,2026-02-15 22:23:09.290597,K03,104,2.9,38.78,5.0
ORD-1026,2026-01-10 19:45:00,2026-01-10 19:55:46.290709,2026-01-10 20:04:48.878077,2026-01-10 20:28:48.248307,K01,103,8.72,29.47,2.0
ORD-1027,2026-02-04 11:20:00,2026-02-04 11:32:33.851377,2026-02-04 11:40:03.041129,2026-02-04 11:57:10.081681,K03,104,4.76,27.99,4.5
ORD-1028,2026-02-07 19:05:00,2026-02-07 19:14:27.185364,2026-02-07 19:17:53.783707,2026-02-07 19:45:00.474874,K03,104,8.79,27.69,3.0
ORD-1029,2026-02-23 14:19:00,2026-02-23 14:27:36.317666,2026-02-23 14:32:52.930512,2026-02-23 14:45:40.816817,K01,103,2.55,35.89,3.1
ORD-1030,2026-02-20 12:29:00,2026-02-20 12:41:12.014271,2026-02-20 12:50:40.944189,2026-02-20 13:11:50.632353,K01,104,8.0,23.82,3.9
ORD-1031,2026-02-12 22:28:00,2026-02-12 22:36:13.044575,2026-02-12 22:38:19.246838,2026-02-12 23:10:59.377062,K01,103,11.73,17.22,1.4
ORD-1032,2026-01-11 12:44:00,2026-01-11 12:52:23.033201,2026-01-11 13:02:08.817385,2026-01-11 13:19:36.187058,K01,103,4.71,18.06,2.1
ORD-1033,2026-02-18 16:08:00,2026-02-18 16:17:10.864630,2026-02-18 16:19:26.119846,2026-02-18 16:38:27.681410,K01,103,6.09,27.65,2.4
ORD-1034,2026-01-29 19:08:00,2026-01-29 19:22:29.799369,2026-01-29 19:29:01.077112,2026-01-29 20:01:34.544604,K02,101,11.93,31.62,3.0
ORD-1035,2026-02-16 20:04:00,2026-02-16 20:11:34.421676,2026-02-16 20:15:37.694463,2026-02-16 20:48:50.729230,K02,103,12.1,47.1,1.6
ORD-1036,2026-02-22 13:46:00,2026-02-22 13:55:36.732011,2026-02-22 13:58:38.274831,2026-02-22 14:27:48.515848,K01,102,11.84,49.44,3.3
ORD-1037,2026-03-01 12:14:00,2026-03-01 12:29:34.094230,2026-03-01 12:34:37.484743,2026-03-01 13:12:53.438154,K02,101,14.24,49.05,3.4
ORD-1038,2026-01-08 12:22:00,2026-01-08 12:38:58.069987,2026-01-08 12:43:16.071878,2026-01-08 13:10:14.731546,K03,101,10.09,17.1,3.9
ORD-1039,2026-01-17 13:36:00,2026-01-17 13:48:24.460315,2026-01-17 13:55:14.543343,2026-01-17 14:14:12.701684,K02,104,6.11,18.27,5.0
ORD-1040,2026-01-24 13:19:00,2026-01-24 13:29:49.038476,2026-01-24 13:32:58.207523,2026-01-24 14:03:23.058961,K02,103,10.84,27.69,1.5
ORD-1041,2026-02-22 20:36:00,2026-02-22 20:42:03.600004,2026-02-22 20:46:12.078039,2026-02-22 21:17:47.573967,K03,102,11.65,30.52,3.7
ORD-1042,2026-01-13 12:35:00,2026-01-13 12:43:22.912090,2026-01-13 12:48:54.068739,2026-01-13 13:24:33.013007,K03,103,12.85,37.11,1.3
ORD-1043,2026-01-10 14:00:00,2026-01-10 14:13:06.302856,2026-01-10 14:21:45.693922,2026-01-10 14:33:44.812087,K01,101,1.13,17.69,5.0
ORD-1044,2026-01-28 18:37:00,2026-01-28 18:44:27.083244,2026-01-28 18:46:32.787205,2026-01-28 19:07:40.363825,K01,103,6.43,16.67,2.2
